method,target,year,rmse,runtime_sec
P_Binning,37,2018,3.90848100128187,1.20500000000001
P_Binning,38,2018,5.33204362242101,1.18700000000001
P_Binning,39,2018,5.29802347780682,1.221
P_Binning,40,2018,5.34539975566919,1.196
P_Binning,41,2018,4.94713657091011,1.17500000000001
P_Binning,42,2018,3.55942676332699,1.221
P_Binning,43,2018,4.59395397923279,1.17999999999998
P_Binning,44,2018,6.13846864905957,1.208
P_Binning,45,2018,4.13743478807194,1.19299999999998
P_Binning,46,2018,3.75673052927466,1.17699999999999
P_Binning,48,2018,4.88504269690793,1.19400000000002
P_Binning,49,2018,4.9298255998809,1.18099999999998
P_Binning,50,2018,3.50904498885215,1.20899999999997
P_Binning,52,2018,4.59641525987517,1.17999999999998
P_Binning,54,2018,5.95541164878304,1.22300000000001
P_Binning,55,2018,3.74351615552928,1.17500000000001
P_Binning,56,2018,4.13928529449132,1.19300000000001
P_Binning,57,2018,4.1507749650604,1.19300000000001
P_Binning,58,2018,7.17668776680464,1.17599999999999
P_Binning,59,2018,6.54580221390141,1.19400000000002
P_Binning,60,2018,4.59685658290457,1.17399999999998
P_Binning,62,2018,4.63782427758251,1.19200000000001
P_Binning,63,2018,4.26778757776424,1.196
P_Binning,64,2018,7.34216529475602,1.17400000000001
P_Binning,65,2018,6.78542746903325,1.19500000000002
P_Binning,66,2018,4.72891312380989,1.17400000000001
