metric,target,year,donors_used,n_models,rmse,mae,runtime_sec,mean_single_rmse,mean_single_mae,mean_T
marginal_energy,16,2018,"14,30,27,25,31,20,13",7,2.19514001443662,1.35605169478654,330.485,3.04959131326273,2.01862655705079,16
marginal_energy,16,2017,"14,30,27,25,31,20,13",7,2.05329402880824,1.32970466019375,350.529,2.9269756323413,1.97037153501837,16
marginal_energy,17,2018,"24,9,29,40,37,20,13",7,4.91065925240998,3.53580504107236,305.23,5.05556501703482,3.67074681045557,15.1428571428571
marginal_energy,17,2017,"24,9,29,40,37,20,13",7,5.56529641724504,4.19090080710406,311.212000000001,5.65220029048867,4.24844509037501,15.1428571428571
marginal_energy,18,2018,"4,50,23,45,6,43,7",7,2.08577509636646,1.35362767282763,298.239000000001,2.67035942460139,1.87027461658817,15.1428571428571
marginal_energy,18,2017,"4,50,23,45,6,43,7",7,2.29447470490923,1.4560287942473,299.692000000001,2.77431056923156,1.88187129228253,15.1428571428571
marginal_energy,19,2018,"21,47,42,49,32,5,11",7,3.08712414352571,2.23038694685382,306.949000000001,3.43662757800137,2.46764947703726,15.5714285714286
marginal_energy,19,2017,"21,47,42,49,32,5,11",7,2.68687792904997,1.96312563423063,309.748000000001,3.09985522780007,2.23210402768527,15.5714285714286
marginal_energy,20,2018,"16,30,25,15,14,27,13",7,1.98561067075546,1.25394646235736,332.716,2.55120332662033,1.73362409378445,16.5714285714286
marginal_energy,20,2017,"16,30,25,15,14,27,13",7,2.55105320090812,1.61281997904119,350.807,2.86627211974395,1.90583382871038,16.5714285714286
marginal_energy,21,2018,"19,47,11,10,42,52,2",7,2.64564580341426,1.76153766528946,300.333999999999,3.11709454715798,2.17665973925811,15.5714285714286
marginal_energy,21,2017,"19,47,11,10,42,52,2",7,2.34532093621411,1.47253825606373,301.826999999999,2.86938353545042,1.92858581464959,15.5714285714286
marginal_energy,22,2018,"48,28,33,12,32,39,8",7,2.59146544048673,1.77965940385491,327.314,2.94273991547202,2.01731491666274,16.4285714285714
marginal_energy,22,2017,"48,28,33,12,32,39,8",7,3.97129651048712,2.38224288641829,327.972000000002,4.19266038300969,2.59308979720392,16.4285714285714
marginal_energy,23,2018,"50,18,58,4,56,31,45",7,3.89106848443137,2.75749799811261,337.781999999998,4.53203160088948,3.27581269286671,15.8571428571429
marginal_energy,23,2017,"50,18,58,4,56,31,45",7,4.08453787223941,2.97180264494768,347.463999999999,4.59017939952012,3.310202658053,15.8571428571429
marginal_energy,24,2018,"9,29,17,40,13,20,30",7,2.9228354397434,1.73357955041744,339.223999999999,3.38366080800299,2.18032601641522,15.7142857142857
marginal_energy,24,2017,"9,29,17,40,13,20,30",7,2.87918674355719,1.66187398329451,343.229999999999,3.33486067955155,2.11989306374053,15.7142857142857
marginal_energy,25,2018,"30,14,16,27,20,31,13",7,4.06832414022681,2.62931219574076,348.435000000001,4.20363871273165,2.76307145075264,16.5714285714286
marginal_energy,25,2017,"30,14,16,27,20,31,13",7,6.3834794782733,4.32086803672184,356.727999999999,6.45650925782438,4.37070101536025,16.5714285714286
marginal_energy,26,2018,"1,38,41,11,47,52,57",7,3.79519413136048,2.64570124156859,319.003000000001,4.47962965523224,3.20667308946742,15.1428571428571
marginal_energy,26,2017,"1,38,41,11,47,52,57",7,3.18830761137597,2.22552707296372,324.298000000004,3.96373495031491,2.82171201663756,15.1428571428571
marginal_energy,27,2018,"16,14,31,30,25,20,13",7,2.53735515976565,1.51892730730053,341.657999999999,3.06140556446755,1.95630241402211,16.2857142857143
marginal_energy,27,2017,"16,14,31,30,25,20,13",7,2.60153905190595,1.64895853636584,347.605,3.00016392872713,1.97949317213985,16.2857142857143
marginal_energy,28,2018,"12,22,32,49,48,33,5",7,3.22626742227182,1.74975338212489,359.007,3.65652146431128,2.13899185327564,16.1428571428571
marginal_energy,28,2017,"12,22,32,49,48,33,5",7,2.6021688604715,1.61882200591339,369.051000000001,3.07869093004938,2.00498112842171,16.1428571428571
marginal_energy,29,2018,"13,9,24,40,20,16,27",7,2.79830235365659,1.67209653190244,337.219000000001,3.01547097058994,1.86815238752866,15.7142857142857
marginal_energy,29,2017,"13,9,24,40,20,16,27",7,2.48494577494018,1.56315190220355,340.035999999998,2.69536563165981,1.73451398551037,15.7142857142857
marginal_energy,30,2018,"14,25,16,27,20,31,13",7,2.64187617802473,1.76560419030855,350.430999999997,3.43625101200527,2.37168206670826,16.2857142857143
marginal_energy,30,2017,"14,25,16,27,20,31,13",7,2.42267884798159,1.53164207155112,353.190000000002,3.15851335252213,2.10481819849773,16.2857142857143
marginal_energy,31,2018,"27,14,16,30,25,56,13",7,3.03171518469027,1.90077232591883,352.095000000003,3.95129719389856,2.61284225496266,16.2857142857143
marginal_energy,31,2017,"27,14,16,30,25,56,13",7,2.80663907495282,1.69594691128858,359.962999999998,3.62525382136491,2.34721098805029,16.2857142857143
marginal_energy,32,2018,"49,12,5,44,28,42,21",7,4.21385705408584,2.95929917950277,346.793,4.55308973487167,3.26276822538815,16
marginal_energy,32,2017,"49,12,5,44,28,42,21",7,2.81191780303139,1.82274503844593,355.278999999999,3.44220345980078,2.36235437970727,16
marginal_energy,33,2018,"48,8,39,22,6,46,43",7,3.52750751564607,2.41095324655987,332.770000000002,3.85728136447777,2.69828824107376,15.4285714285714
marginal_energy,33,2017,"48,8,39,22,6,46,43",7,3.5078121003092,2.42059854230226,342.523000000003,3.8056493192028,2.66583658450575,15.4285714285714
marginal_energy,34,2018,"36,42,54,2,65,44,5",7,5.51222047549379,3.48635080324687,326.727000000003,6.02136597829181,3.94217088337997,16.2857142857143
marginal_energy,35,2018,"37,55,51,17,41,24,9",7,3.80675442231276,2.06497420999529,262.807,5.29757486886036,3.52989913973444,15.7142857142857
marginal_energy,34,2017,"36,42,54,2,65,44,5",7,3.56491775853351,2.37525709490729,338.684,4.30768871929709,3.0605036111669,16.2857142857143
marginal_energy,36,2018,"34,42,54,65,44,2,5",7,4.19218250090756,2.67235137090105,333.795,4.87727364031931,3.29951473361573,16.2857142857143
marginal_energy,35,2017,"37,55,51,17,41,24,9",7,3.44069627645013,2.48454106551782,320.96,4.67435181127257,3.56340284923394,15.7142857142857
marginal_energy,37,2018,"35,55,17,24,51,9,40",7,4.8623750359831,3.54692786061531,321.163,5.3940285349976,3.984569097448,15.2857142857143
marginal_energy,36,2017,"34,42,54,65,44,2,5",7,3.39087149601094,2.2675652500544,331.091,4.20622700574915,2.97730554260992,16.2857142857143
marginal_energy,38,2018,"26,41,1,47,52,11,51",7,4.2765741089685,2.55736668171941,291.506,4.61764007409258,2.88154256281116,14.8571428571429
marginal_energy,37,2017,"35,55,17,24,51,9,40",7,5.83677448337897,4.49554281096558,324.607,6.16646410789967,4.72825650308238,15.2857142857143
marginal_energy,39,2018,"8,43,53,46,33,48,45",7,4.032597339617,2.62551735107177,316.277,4.24688075585181,2.80864913917575,16.1428571428571
marginal_energy,38,2017,"26,41,1,47,52,11,51",7,3.29048061390329,2.06131752869686,291.411,3.69526069339714,2.44412437336838,14.8571428571429
marginal_energy,40,2018,"29,9,24,13,20,17,30",7,4.40176677757249,2.14903264995906,308.906,4.69852158777714,2.54882729419156,16.1428571428571
marginal_energy,39,2017,"8,43,53,46,33,48,45",7,2.3996379959101,1.58825750992645,311.706,2.90825991759835,1.95420323823572,16.1428571428571
marginal_energy,41,2018,"38,26,1,51,57,47,11",7,5.53461752369674,4.02460765685519,301.107,5.88283070516847,4.25340481507258,15
marginal_energy,40,2017,"29,9,24,13,20,17,30",7,3.4683785481043,2.35674464787163,310.098,3.75778683858152,2.63797349307599,16.1428571428571
marginal_energy,42,2018,"44,34,5,36,49,32,54",7,2.95483557441425,1.37282492397967,326.653000000001,4.13680560982618,2.53885670927198,15.2857142857143
marginal_energy,41,2017,"38,26,1,51,57,47,11",7,5.68817632314902,4.28537165691979,304.007,5.95229947783134,4.44699244267445,15
