metric,target,year,donors_used,n_models,rmse,mae,runtime_sec,mean_single_rmse,mean_single_mae,mean_T
mean_ks,12,2017,"32,5,28,22,33,8,13",7,2.87451203378695,1.76513164731343,420.782,3.12460151466022,1.95906001142805,16.7142857142857
mean_ks,14,2018,"16,27,31,30,25,13,20",7,3.23293937518116,2.25435136115893,366.193,3.67728864430181,2.60488123373937,16.4285714285714
mean_ks,13,2017,"30,9,27,14,16,29,31",7,2.46587966340829,1.4644735696903,401.420999999999,2.7066934739867,1.6799332065819,16.5714285714286
mean_ks,15,2018,"20,16,27,14,25,24,29",7,2.25319084182266,1.4090930990631,348.854,2.98369974108044,1.9869561341712,16.5714285714286
mean_ks,14,2017,"16,27,31,30,25,13,20",7,3.00699504579613,2.03102598616298,395.237,3.49002947987237,2.396653488329,16.4285714285714
mean_ks,16,2018,"14,27,20,15,31,30,25",7,2.1700733646806,1.33166611371868,339.458000000001,3.02545020548997,1.99855511926375,16.2857142857143
mean_ks,15,2017,"20,16,27,14,25,24,29",7,2.35383913374201,1.46932253612317,378.293000000001,2.96420410228664,1.93890261474644,16.5714285714286
mean_ks,17,2018,"24,20,29,19,21,15,9",7,4.49854606521244,3.14098400455866,317.734,4.59810237236136,3.21702211068248,15.5714285714286
mean_ks,18,2018,"4,23,6,15,20,50,16",7,2.3761330638651,1.55118131477989,324.764,2.61490242032709,1.79452208624262,16.1428571428571
mean_ks,16,2017,"14,27,20,15,31,30,25",7,2.03110870051095,1.32245285027938,403.261,2.90554535732344,1.96636873231465,16.2857142857143
mean_ks,19,2018,"21,17,3,2,28,20,32",7,2.30368155626904,1.50877460024008,326.627,3.07351266595589,2.07288592431514,16.4285714285714
mean_ks,17,2017,"24,20,29,19,21,15,9",7,5.14347369684571,3.7645038548675,363.022,5.20740098839135,3.80019240917742,15.5714285714286
mean_ks,20,2018,"16,15,27,14,29,25,24",7,2.05051814191338,1.31744665637637,343.923,2.58666927116492,1.76332638985245,16.7142857142857
mean_ks,18,2017,"4,23,6,15,20,50,16",7,2.37095119344477,1.4838869039235,368.709999999999,2.61364203561802,1.71261790564639,16.1428571428571
mean_ks,21,2018,"19,2,32,3,10,20,17",7,3.79158340847681,2.80051289703414,310.004,4.04660321604758,2.960861084562,15.8571428571429
mean_ks,19,2017,"21,17,3,2,28,20,32",7,2.33100263469051,1.48613877902305,372.286000000001,3.01986727592561,2.00037856111448,16.4285714285714
mean_ks,22,2018,"33,12,32,28,8,5,30",7,2.57392045923351,1.7868324303482,339.999000000001,2.82209839826086,1.95745493996338,16.8571428571429
mean_ks,20,2017,"16,15,27,14,29,25,24",7,2.6160268155455,1.65197341287781,403.969000000001,2.91637380023074,1.92657645657249,16.7142857142857
mean_ks,23,2018,"18,4,16,31,15,6,27",7,2.94961586115036,1.83595124580275,351.968000000001,3.18359380084617,2.03931030506321,16.4285714285714
mean_ks,21,2017,"19,2,32,3,10,20,17",7,3.29997289361227,2.29303675656004,354.531999999999,3.58575540589188,2.49788476932987,15.8571428571429
mean_ks,24,2018,"29,9,17,15,16,20,25",7,2.71043895558332,1.58419798258653,360.284999999998,3.68761723233599,2.4251827430488,16.5714285714286
mean_ks,22,2017,"33,12,32,28,8,5,30",7,3.97411802958921,2.4041862824799,379.758000000002,4.13668269980897,2.56068871019863,16.8571428571429
mean_ks,25,2018,"14,16,30,29,31,15,20",7,3.86043554410821,2.50078198182004,358.010999999999,4.00272450689236,2.63921556161912,16.8571428571429
mean_ks,23,2017,"18,4,16,31,15,6,27",7,3.05556357063976,1.94007612795436,401.530999999999,3.24265444723424,2.09603663424824,16.4285714285714
mean_ks,26,2018,"1,3,38,11,21,32,24",7,2.99425300674518,1.88733451379376,315.602999999996,3.30003219036601,2.11482111003691,14.8571428571429
mean_ks,27,2018,"16,14,31,13,30,20,15",7,2.32313190917045,1.33827548205717,351.68,2.589050247831,1.58035719849678,16.5714285714286
mean_ks,24,2017,"29,9,17,15,16,20,25",7,2.74116989087613,1.59042295940659,412.373999999998,3.67842368471375,2.38941619371429,16.5714285714286
mean_ks,28,2018,"12,32,22,8,14,16,5",7,3.19745511716901,1.72996133519406,364.859,3.42808184478635,1.93512079845248,16.2857142857143
mean_ks,25,2017,"14,16,30,29,31,15,20",7,6.16269866025603,4.18370049054839,408.446999999998,6.23785410415608,4.23520389930475,16.8571428571429
mean_ks,29,2018,"24,16,9,20,25,13,27",7,2.73917325988903,1.62346184478545,344.872999999998,3.33126257635133,2.1296801416512,16
