method,target,year,donors_used,n_models,rmse,mae,runtime_sec,mean_single_rmse,mean_single_mae,mean_T
TF_thinnedSV,60,2017,"54,57,58,55,56,37,1",7,2.949526979,1.720258013,1857.946,3.808518414,2.477321299,15.28571429
TF_thinnedSV,60,2018,"54,57,58,55,56,37,1",7,3.856469972,2.148025526,1853.555,4.550650479,2.811513979,15.28571429
TF_thinnedSV,61,2017,"64,62,63,59,66,65,58",7,3.724399385,2.518270461,1954.717,4.318051978,2.94799606,16.28571429
TF_thinnedSV,61,2018,"64,62,63,59,66,65,58",7,,,,,,
TF_thinnedSV,62,2017,"63,59,66,61,65,64,58",7,3.05100943,1.785622851,1920.398,4.056384938,2.63546931,16.28571429
TF_thinnedSV,62,2018,"63,59,66,61,65,64,58",7,2.614673151,1.564148351,1914.452,3.64571582,2.312280576,16.28571429
TF_thinnedSV,63,2017,"62,59,64,66,61,65,58",7,4.587555681,3.034877713,1889.595,5.106021504,3.410974846,16.14285714
TF_thinnedSV,63,2018,"62,59,64,66,61,65,58",7,4.654989278,3.012570433,1879.345,5.124530722,3.387610308,16.14285714
TF_thinnedSV,64,2017,"61,63,62,59,66,65,58",7,3.73024588849458,2.27732582767611,1734.736,4.68426361013823,3.03649321580272,16.1428571428571
TF_thinnedSV,64,2018,"61,63,62,59,66,65,58",7,4.418274558029,2.70396033770113,1679.576,5.24348485706256,3.44288639217261,16.1428571428571
TF_thinnedSV,65,2017,"66,62,63,59,61,64,58",7,4.11309945265416,2.35336607399124,1611.494,4.80903025637603,2.98405728298847,15.8571428571429
TF_thinnedSV,65,2018,"66,62,63,59,61,64,58",7,4.45710167876215,2.72745140818135,1563.517,5.18429768178788,3.28961373361509,15.8571428571429
TF_thinnedSV,66,2017,"65,62,63,59,64,61,58",7,4.47542969628588,2.92293438798785,1740.019,4.9832732109237,3.31624009629073,16
TF_thinnedSV,66,2018,"65,62,63,59,64,61,58",7,4.06302036496988,2.77237259499161,1659.477,4.59835827713844,3.16102098569838,16
