method,target,year,donors_used,n_models,rmse,runtime_sec,fit_time_sec,pred_time_sec
G_random_forest,44,2017,"43,42,41,39,40,38,33",1,5.5013464710751,12.0139999999999,10.998,1.01599999999985
G_random_forest,44,2018,"43,42,41,39,40,38,33",1,6.3567056589381,12.24,11.299,0.941000000000031
G_random_forest,45,2017,"46,13,12,23,47,11,24",1,3.14393644860062,13.377,12.268,1.10899999999992
G_random_forest,45,2018,"46,13,12,23,47,11,24",1,3.28995537327462,13.6690000000001,12.5650000000001,1.10400000000004
G_random_forest,46,2017,"47,45,48,14,24,23,25",1,4.02410434775349,12.4739999999999,11.3810000000001,1.09299999999985
G_random_forest,46,2018,"47,45,48,14,24,23,25",1,3.22003683930743,13.6110000000001,12.5340000000001,1.077
G_random_forest,47,2017,"48,46,14,45,15,49,25",1,3.04820232882471,12.682,11.644,1.03800000000001
G_random_forest,48,2017,"47,49,46,50,15,16,14",1,3.8166752411712,12.0049999999999,10.9159999999999,1.08899999999994
G_random_forest,48,2018,"47,49,46,50,15,16,14",1,4.39248343598587,12.364,11.3430000000001,1.02099999999996
G_random_forest,49,2017,"50,51,48,17,18,16,19",1,5.46302262422789,12.241,11.2170000000001,1.02399999999989
G_random_forest,49,2018,"50,51,48,17,18,16,19",1,5.26590079856744,12.097,11.087,1.00999999999999
G_random_forest,50,2017,"49,51,48,17,18,19,20",1,2.86352419312903,12.1610000000001,11.114,1.04700000000003
G_random_forest,50,2018,"49,51,48,17,18,19,20",1,2.86564229254913,12.2,11.175,1.02500000000009
G_random_forest,51,2017,"50,49,19,48,18,20,17",1,3.3820219040812,12.337,11.366,0.971000000000004
G_random_forest,52,2017,"1,53,2,54,3,59,60",1,3.87146253517269,14.0030000000002,12.8500000000001,1.15300000000002
G_random_forest,52,2018,"1,53,2,54,3,59,60",1,4.88011739155118,13.6779999999999,12.644,1.03399999999988
G_random_forest,53,2017,"54,52,55,1,59,58,60",1,6.17837561897285,13.8530000000001,12.7339999999999,1.11900000000014
G_random_forest,54,2017,"53,55,58,52,59,56,57",1,4.61855879049894,13.3910000000001,12.22,1.17100000000005
G_random_forest,54,2018,"53,55,58,52,59,56,57",1,4.41749908447843,13.4369999999999,12.3869999999999,1.04999999999995
G_random_forest,55,2017,"54,56,58,53,57,59,52",1,3.98633086610592,13.779,12.7069999999999,1.07200000000012
G_random_forest,55,2018,"54,56,58,53,57,59,52",1,5.26332952410169,13.943,12.8220000000001,1.12099999999987
G_random_forest,56,2017,"57,55,58,54,62,63,61",1,4.21341739449418,14.0159999999998,12.9289999999999,1.08699999999999
G_random_forest,56,2018,"57,55,58,54,62,63,61",1,4.71926497633565,13.903,12.779,1.12400000000002
G_random_forest,57,2017,"56,58,55,54,59,53,60",1,3.23227463088251,14.1980000000001,13.095,1.10300000000007
G_random_forest,57,2018,"56,58,55,54,59,53,60",1,3.70214898639321,13.8099999999999,12.7149999999999,1.09500000000003
G_random_forest,58,2017,"59,57,55,54,60,56,53",1,4.97339254660712,13.0909999999999,11.942,1.14899999999989
G_random_forest,58,2018,"59,57,55,54,60,56,53",1,4.14905383158397,13.3880000000001,12.2710000000002,1.11699999999996
G_random_forest,59,2017,"60,58,53,54,52,55,57",1,5.25125762869594,13.9100000000001,12.7660000000001,1.14400000000001
G_random_forest,59,2018,"60,58,53,54,52,55,57",1,3.89879103874697,14.0930000000001,13.0160000000001,1.077
G_random_forest,60,2017,"59,58,53,52,54,1,55",1,3.99243827236574,13.4479999999999,12.338,1.1099999999999
G_random_forest,60,2018,"59,58,53,52,54,1,55",1,4.51575302487395,13.3910000000001,12.308,1.08300000000008
G_random_forest,61,2017,"62,66,65,63,64,56,55",1,3.16058070470638,13.461,12.3599999999999,1.10100000000011
G_random_forest,62,2017,"61,63,65,64,66,56,55",1,4.23351555614139,13.4740000000002,12.3680000000002,1.10599999999999
G_random_forest,62,2018,"61,63,65,64,66,56,55",1,3.15408234234963,13.7559999999999,12.6699999999998,1.08600000000001
G_random_forest,63,2017,"62,64,65,61,66,56,57",1,4.04981972066014,13.4780000000001,12.3779999999999,1.10000000000014
G_random_forest,63,2018,"62,64,65,61,66,56,57",1,4.0988200432572,13.45,12.3620000000001,1.08799999999997
G_random_forest,64,2017,"65,63,66,62,61,56,55",1,3.90255254665475,13.3429999999998,12.25,1.09299999999985
G_random_forest,64,2018,"65,63,66,62,61,56,55",1,5.16024318474219,13.77,12.7360000000001,1.03399999999988
G_random_forest,65,2017,"66,64,62,63,61,56,55",1,3.89550637645995,13.9209999999998,12.865,1.05599999999981
G_random_forest,65,2018,"66,64,62,63,61,56,55",1,4.73171880481325,13.6490000000001,12.6020000000001,1.04700000000003
G_random_forest,66,2017,"65,64,62,61,63,56,55",1,4.03333028358651,13.8530000000001,12.721,1.13200000000006
G_random_forest,66,2018,"65,64,62,61,63,56,55",1,3.67813290510623,13.7049999999999,12.634,1.07099999999991
