method,target,year,rmse,nlpd,runtime_sec
P_twinGP,40,2017,3.32957978455016,2.55463603415335,132.258000000001
P_twinGP,41,2017,5.07146171110593,7.03446264114861,129.018
P_twinGP,42,2017,2.61143930430445,2.3067308793695,123.193
P_twinGP,43,2017,2.73331865702773,2.45267157358548,127.495
P_twinGP,44,2017,5.46444313090148,11.2823737435307,127.093
P_twinGP,45,2017,3.31570924247415,2.55145904152056,126.296
P_twinGP,46,2017,3.62516364828703,3.9454723761736,128.746
P_twinGP,47,2017,3.16060204240907,3.12260737923324,127.477
P_twinGP,48,2017,4.10793303887098,2.77807253898043,129.81
P_twinGP,49,2017,4.43398669266695,2.88987543000402,130.288
P_twinGP,50,2017,4.09759331532922,4.60716328045904,110.898
P_twinGP,51,2017,3.7356284484776,3.36461793569968,111.778
P_twinGP,52,2017,3.76052116832021,5.211117404876,127.152
P_twinGP,53,2017,3.50416500271031,4.32681988371784,125.221
P_twinGP,54,2017,7.33448652360973,15.6322512381502,124.365
P_twinGP,55,2017,4.23830743589997,4.50257133895805,127.013999999999
P_twinGP,56,2017,4.17901081347143,3.88632158773104,122.487
P_twinGP,57,2017,5.12762143738139,8.81135342462221,122.713000000001
P_twinGP,58,2017,8.30909699659595,17.8356288867108,121.223
P_twinGP,59,2017,8.36595706712716,19.4668874897867,125.474999999999
P_twinGP,60,2017,4.91063184730059,6.05970550284184,125.959
P_twinGP,61,2017,4.64664927488762,6.46918275394594,121.84
P_twinGP,62,2017,6.56573901775326,6.80322174788211,121.159
P_twinGP,63,2017,4.30944916578242,5.46334355749667,122.696000000001
P_twinGP,64,2017,5.31135751581325,3.07473712398498,120.588
P_twinGP,65,2017,4.49173577012893,4.23679856818332,123.387
P_twinGP,66,2017,4.39317877663098,4.05367472479633,127.096999999999
P_twinGP,1,2018,4.34709813502619,6.01662626985839,125.694
P_twinGP,2,2018,5.91414548402173,3.85274928334554,123.493
P_twinGP,3,2018,4.5599115467565,4.76549372087329,121.405
P_twinGP,4,2018,5.06020469495235,9.48246387479133,126.195
P_twinGP,5,2018,4.31594615058006,5.52331405575356,125.074
P_twinGP,6,2018,3.41650301691559,3.4295892834266,126.367
P_twinGP,7,2018,4.47720410195359,5.11533641163039,127.217
P_twinGP,8,2018,3.89501184134993,4.23035631761246,125.903
P_twinGP,9,2018,5.08068289504212,7.20896736022178,122.659
P_twinGP,10,2018,3.97097040944492,3.01099097341722,124.667
P_twinGP,11,2018,4.53087346551261,5.68660483411561,125.564
P_twinGP,12,2018,4.85062431374374,4.03307949337786,125.783
P_twinGP,13,2018,4.34908655411646,5.22860944936846,126.855
P_twinGP,14,2018,4.52265850250431,6.46938767932274,128.846
P_twinGP,15,2018,3.14202774922015,2.54146487196449,126.19
P_twinGP,16,2018,3.31974872744882,4.17518172333798,126.646
P_twinGP,17,2018,6.15751326386903,6.02542794860248,129.387
P_twinGP,18,2018,2.50579592773825,2.29047800359033,128.899
P_twinGP,19,2018,3.55424116112623,4.30277840888186,125.461
P_twinGP,20,2018,3.15829824577493,2.51749815388627,124.572
P_twinGP,21,2018,2.64696948629933,2.80294714467372,127.609
P_twinGP,22,2018,3.37681661806109,4.01088371533543,126.144
P_twinGP,23,2018,4.38440424507461,4.01024893293595,127.502
P_twinGP,24,2018,3.66585165098592,4.21908200266917,129.242
P_twinGP,25,2018,3.18139841272122,2.50627798312797,124.895
P_twinGP,26,2018,4.15164633486547,4.45671189919974,129.856
P_twinGP,27,2018,3.89780137752028,4.04385963778172,125.662
P_twinGP,28,2018,3.82306864594767,4.11527057711152,124.417
P_twinGP,29,2018,3.60521496318916,3.34662114886125,124.342
P_twinGP,30,2018,3.32046851661394,3.2538291819539,127.277
P_twinGP,31,2018,3.17919403792764,2.50948757750979,124.02
P_twinGP,32,2018,4.42180561861963,4.21266580162237,126.041
P_twinGP,33,2018,4.68834093657282,5.00201947675059,122.012
P_twinGP,34,2018,5.14241131274905,8.56696047974899,128.31
P_twinGP,35,2018,4.11145845174153,6.69609325963485,123.446
P_twinGP,36,2018,3.67881361623252,2.70212717785816,126.583000000001
P_twinGP,37,2018,4.70136524605371,8.75232006344431,129.71
P_twinGP,38,2018,4.95415049926952,7.51372036838444,133.339
P_twinGP,39,2018,5.11282847118226,10.22634309304,133.32
P_twinGP,40,2018,4.78321505289259,3.18006622688764,133.73
P_twinGP,41,2018,4.93344513352118,7.08723344756029,130.347
P_twinGP,42,2018,3.37446392358175,2.68540194351129,124.679
P_twinGP,43,2018,4.41809613479702,2.91168852713839,128.186
P_twinGP,44,2018,6.22127033643971,13.2452618569276,128.707
P_twinGP,45,2018,3.61007314331765,2.65046916639679,127.613
P_twinGP,46,2018,3.42242028931631,3.45701752235688,129.248000000001
P_twinGP,48,2018,4.81803479961626,3.02179183576237,129.750999999999
P_twinGP,49,2018,5.1042457102843,3.13196084976471,130.974
P_twinGP,50,2018,3.64396008632266,4.16411289279225,111.843
P_twinGP,52,2018,4.12736581446328,5.65822348710192,127.558
P_twinGP,54,2018,6.86983937700679,13.4086341053331,125.473
P_twinGP,55,2018,3.48040171688043,3.33819985391275,127.31
P_twinGP,56,2018,3.84526427660856,3.31425960163682,123.72
P_twinGP,57,2018,4.14323668249401,5.46047885497771,124.525
P_twinGP,58,2018,7.32458174510991,13.7068623233784,121.507
P_twinGP,59,2018,6.79955352551764,13.2859137081578,124.003
P_twinGP,60,2018,5.03214170811976,6.44730250995862,126.302
