method,target,year,donors_used,n_models,rmse,mae,runtime_sec,mean_single_rmse,mean_single_mae
TF_ANN,37,2017,"55,1,44,56,10,41,25",7,3.139708362859741,1.9938333965463273,221.51239728927612,3.8448109510411976,2.670457862211014
TF_ANN,37,2018,"55,1,44,56,10,41,25",7,2.9412965349998896,1.8114450093446641,221.51111102104187,3.7866589897878447,2.4979372024900472
TF_ANN,38,2017,"39,27,15,29,4,3,21",7,2.9359728582411693,1.9242051560256985,209.73133969306946,3.3332029777810406,2.2529737756887367
TF_ANN,38,2018,"39,27,15,29,4,3,21",7,3.799562889117487,2.161551500821398,209.73215699195862,4.1174293514897355,2.482810486749233
TF_ANN,39,2017,"3,27,38,4,50,15,29",7,2.8770384970897203,2.0189231879264242,202.76903128623962,3.1467297605349818,2.248859553540828
TF_ANN,39,2018,"3,27,38,4,50,15,29",7,3.302685437785547,1.9818644626385375,202.76847386360168,3.5486665784914933,2.2525257886803307
TF_ANN,40,2017,"49,43,16,6,50,26,23",7,3.3085538506482473,2.261527479275431,195.44907188415527,4.087221862191081,2.7845355127142426
TF_ANN,40,2018,"49,43,16,6,50,26,23",7,4.663896573342096,2.61224879380659,195.44795322418213,5.268472617386308,3.10552414804258
TF_ANN,41,2017,"33,10,35,25,44,5,36",7,3.9626466550456696,2.7467140977461013,203.56353282928467,4.500121320742745,3.1875028507318843
TF_ANN,41,2018,"33,10,35,25,44,5,36",7,4.004234163869303,2.599646505487635,203.5634889602661,4.659287182882066,3.152499273058882
TF_ANN,42,2017,"36,12,51,46,32,34,9",7,2.7989184598898613,1.8898369111712652,220.87478947639465,3.251508425851038,2.2553681359212088
TF_ANN,42,2018,"36,12,51,46,32,34,9",7,3.9405622637418545,2.4198964780643446,220.87382745742798,4.277320155926215,2.708014117162596
TF_ANN,43,2017,"49,6,40,26,45,22,47",7,2.8305514754628134,1.904475481713677,159.2521526813507,3.2496481229473306,2.229178285986161
TF_ANN,43,2018,"49,6,40,26,45,22,47",7,4.7556695425987545,3.2540646055228772,159.25222063064575,5.060031445652408,3.4577214081862118
TF_ANN,44,2017,"41,37,1,33,56,30,10",7,4.670354094577976,3.5298166108679476,183.00238800048828,5.112375339621143,3.9001082503039073
TF_ANN,44,2018,"41,37,1,33,56,30,10",7,5.542947384705796,3.9235695533120336,182.99771213531494,6.024949279643276,4.31804950206113
TF_ANN,45,2017,"22,43,49,47,53,52,7",7,3.118129665182998,1.911682773444304,201.32875323295593,3.628909999656352,2.338620636646009
TF_ANN,45,2018,"22,43,49,47,53,52,7",7,3.385419814304778,2.211505099444645,201.31853032112122,3.9155082010375204,2.654089409056605
TF_ANN,46,2017,"51,36,34,42,22,33,53",7,3.827505630132286,2.4877681757074273,198.00899457931519,4.035551558915768,2.6941393721149383
TF_ANN,46,2018,"51,36,34,42,22,33,53",7,3.0300963784917854,1.9972803952373623,198.00676131248474,3.3385297338891506,2.2818001793758667
TF_ANN,47,2017,"50,49,43,45,3,26,40",7,2.7479427897500153,1.7023175139393394,178.78947830200195,3.499278458404141,2.23567631899915
TF_ANN,48,2017,"16,50,15,40,23,49,24",7,2.968934149217873,1.850257084395245,199.42333483695984,3.438166417239748,2.2931390584317985
TF_ANN,48,2018,"16,50,15,40,23,49,24",7,3.5202931631724366,2.281758652415838,199.41947555541992,3.9554011476179083,2.713064080955626
TF_ANN,49,2017,"43,40,47,6,26,22,45",7,4.4670813144239085,2.6799028821040225,181.19079971313477,4.7060568022208304,2.9198370590718787
TF_ANN,49,2018,"43,40,47,6,26,22,45",7,4.883686443647042,3.437421719009583,181.18940615653992,5.108478580560053,3.575944219016147
TF_ANN,50,2017,"47,3,40,43,48,49,27",7,3.2018711104012367,1.9592847756977672,203.1418535709381,3.792380329010301,2.4606892700364704
TF_ANN,50,2018,"47,3,40,43,48,49,27",7,2.798473759984473,1.7765734199856082,203.14201259613037,3.565863328241324,2.416138842991728
TF_ANN,51,2017,"46,36,34,52,42,22,53",7,2.6875673234720536,1.7324835390315647,212.23535585403442,3.132365079484031,2.1004479887613168
TF_ANN,52,2017,"53,22,51,7,34,32,31",7,3.8533072868069937,2.3030729334121705,199.3411717414856,4.079463426130163,2.5219640086010005
TF_ANN,52,2018,"53,22,51,7,34,32,31",7,3.304307496152416,2.1010053011653373,199.33951902389526,3.5961871117202557,2.344380895954101
TF_ANN,53,2017,"52,7,32,31,22,34,13",7,2.9473237222269573,1.7599549916128034,204.97892260551453,3.2894394807125518,2.038332747596604
TF_ANN,54,2017,"60,55,57,58,56,37,1",7,4.029931757283755,2.870663375056609,208.99308228492737,4.656890787056895,3.3789243119081283
TF_ANN,54,2018,"60,55,57,58,56,37,1",7,3.6825034100075,2.459030742090962,208.99273204803467,4.503736974845693,3.125218190956498
TF_ANN,55,2017,"37,54,1,44,56,41,10",7,3.1500223294853504,1.8764996145368589,207.06818962097168,4.211893695768363,2.8400660362524386
TF_ANN,55,2018,"37,54,1,44,56,41,10",7,3.9418006248660125,2.697017019766778,207.06714010238647,4.767178624538126,3.41940859381866
TF_ANN,56,2017,"1,37,10,25,5,54,8",7,3.4397931840161835,2.1500261722297322,215.6932373046875,4.42357405662647,3.028688489956077
TF_ANN,56,2018,"1,37,10,25,5,54,8",7,3.043612071132596,1.958878686614981,215.69415712356567,4.180168997841847,2.8948447751719173
TF_ANN,57,2017,"58,60,54,55,56,1,37",7,2.9130435292353503,1.5440450948339033,198.929762840271,4.182978979198519,2.7646234885784158
TF_ANN,57,2018,"58,60,54,55,56,1,37",7,3.0740260434964672,2.0154387759789127,198.9296305179596,4.341520233876719,3.1059493586563818
TF_ANN,58,2017,"57,54,60,55,56,1,37",7,5.1811636363807,3.5425859012293954,200.1954746246338,5.444135653527705,3.7761884674998534
TF_ANN,58,2018,"57,54,60,55,56,1,37",7,4.253009001115447,2.8712954958363266,200.19404816627502,4.635501528391215,3.2228663751121687
TF_ANN,59,2017,"63,62,66,61,64,65,58",7,5.144374812335319,3.2149314737376615,198.95261359214783,5.68584027148622,3.682760815114187
TF_ANN,59,2018,"63,62,66,61,64,65,58",7,3.6114587111350467,2.150787059345089,198.9471800327301,4.377668840780639,2.8148683479629146
TF_ANN,60,2017,"54,57,58,55,56,37,1",7,3.015127434589616,1.79994095094824,205.40799713134766,3.9252041152839605,2.650515769495107
TF_ANN,60,2018,"54,57,58,55,56,37,1",7,3.9268198355441544,2.2295788021035072,205.40750527381897,4.681496177237861,2.9902093564596903
TF_ANN,61,2017,"64,62,63,59,66,65,58",7,3.889144506424968,2.6759775421294316,207.70436716079712,4.54147447615428,3.1768237643563744
TF_ANN,62,2017,"63,59,66,61,65,64,58",7,2.949918140143476,1.71138073820746,206.69104504585266,4.051384534249816,2.655370918297191
TF_ANN,62,2018,"63,59,66,61,65,64,58",7,2.7188265555728806,1.6966076208409346,206.6890368461609,3.7512103528639638,2.48407636419866
TF_ANN,63,2017,"62,59,64,66,61,65,58",7,4.817706975532642,3.2791112914117626,212.4099142551422,5.32972176895575,3.6506594503083827
TF_ANN,63,2018,"62,59,64,66,61,65,58",7,4.863153663996572,3.206964695594115,212.40941071510315,5.337109490769107,3.6155039213441773
TF_ANN,64,2017,"61,63,62,59,66,65,58",7,3.823379063820652,2.378089407429124,210.28792309761047,4.873097766579532,3.217228186697816
TF_ANN,64,2018,"61,63,62,59,66,65,58",7,4.42828481725191,2.7104657076728076,210.2835705280304,5.384916942454363,3.5836684900350053
TF_ANN,65,2017,"66,62,63,59,61,64,58",7,4.19607031190806,2.4614732649829527,208.85131573677063,5.010473513390983,3.2037824932633425
TF_ANN,65,2018,"66,62,63,59,61,64,58",7,4.550442744169191,2.829221699169925,208.84733772277832,5.424067581547846,3.545512852617232
TF_ANN,66,2017,"65,62,63,59,64,61,58",7,4.581940130240481,3.0403194382975087,205.25960874557495,5.184943443376038,3.504025802450066
TF_ANN,66,2018,"65,62,63,59,64,61,58",7,4.155985579679378,2.875046617364829,205.25231218338013,4.804711566134914,3.362234127601892
