target,donor,geo_distance
11,66,0.069906067804519
11,65,0.0711196992924605
11,64,0.07306633219205684
11,38,0.0787479127244018
11,39,0.0828705210661789
11,43,0.08343943908943781
11,44,0.08471671196340187
11,42,0.08721884672414557
11,41,0.08756573887657206
11,40,0.08968565463824188
12,13,0.0035074440209360166
12,11,0.003581235820216237
12,23,0.008545358733839114
12,10,0.008834214044271234
12,9,0.009932888189242832
12,24,0.01217989227743828
12,26,0.012221691281487992
12,45,0.01502728746148153
12,25,0.01654354876621096
12,7,0.016832852607030126
12,14,0.017491021919259064
12,8,0.017799481027265893
12,34,0.018172118989264886
12,27,0.0197469669795136
12,6,0.01987705978710133
12,46,0.021053052797634867
12,5,0.023070982857260277
12,28,0.0236859258094338
12,4,0.025377466706706486
12,47,0.02711987925655275
12,29,0.027676878888342887
12,3,0.028478787858509696
12,35,0.028674292493451367
12,15,0.02934144475924798
12,31,0.029852112480693898
12,2,0.03139353816392788
12,30,0.03171784462696043
12,48,0.03253610938296099
12,36,0.03261354460113163
12,16,0.03273648062605389
12,1,0.03489882327371505
12,32,0.03539300531178442
12,37,0.03632639708256243
12,17,0.03885162262879125
12,52,0.04017817735350869
12,33,0.042664182740209666
12,49,0.04323914486157191
12,18,0.043694477199984906
12,53,0.045477198614030725
12,60,0.045929586331252756
12,19,0.04726810169543517
12,59,0.04789515426199192
12,50,0.04796516807601117
12,54,0.04953239751758431
12,20,0.05148889758433368
12,58,0.053332710413028846
12,55,0.05389692874264731
12,51,0.05420271153530978
12,21,0.05677719304439064
12,57,0.05983727915680991
12,56,0.06109796821138983
12,22,0.06136437178404096
12,61,0.06625680373282428
12,62,0.0693716606972184
12,63,0.072597773236443
12,66,0.07321995572854441
12,65,0.07448457936009309
12,38,0.07544509025410472
12,64,0.07648371624077899
12,39,0.07952893264579881
12,43,0.07995348197270714
12,44,0.08120293900401636
12,42,0.08375784067709721
12,41,0.0841620141453376
12,40,0.08632673050040758
13,12,0.0035074440209360166
13,23,0.005088352429814637
13,11,0.006993474069444982
13,24,0.00868059263241865
13,26,0.008953161440519218
13,10,0.012218616442952865
13,9,0.013046371977680195
13,25,0.013056702638108935
13,14,0.01403799115899428
13,45,0.014094411016073002
13,27,0.01642645169992598
13,34,0.01685933643415426
13,46,0.019065138214552798
13,7,0.020245233054968767
13,28,0.020375079800825393
13,8,0.02103593614175507
13,6,0.02318753069604437
13,29,0.02430851547421194
13,47,0.024550196656849838
13,15,0.025838763999077086
13,5,0.02626423377066226
13,31,0.026659355768660308
13,35,0.02699916664565782
13,30,0.028281310255714884
13,4,0.028704120782389316
13,16,0.029233533925613633
13,48,0.02970444996595633
13,36,0.030651007697790337
13,3,0.0318499218280045
13,32,0.03205814898836178
13,37,0.03411811513785604
13,2,0.034842394060827585
13,17,0.035354046776147216
13,1,0.03833680180257598
13,33,0.03922396631461441
13,49,0.0400908801839022
13,18,0.04019059339920229
13,52,0.04362006903811589
13,19,0.0437634571126414
13,50,0.044828919516312266
13,20,0.047983043420462654
13,53,0.04892527064595551
13,60,0.0490649959237744
13,51,0.051078412620010095
13,59,0.05111967431214717
13,54,0.052980258364413335
13,21,0.053271872123663945
13,58,0.05664724024663507
13,55,0.05734585744803193
13,22,0.057861897807538296
13,57,0.06319049667038545
13,56,0.06452684131429338
13,61,0.0697641339762058
13,62,0.07287720221338077
13,38,0.07287909615856941
13,63,0.07609600927703104
13,66,0.0767229978002033
13,39,0.07688909917394017
13,43,0.07701294079568712
13,65,0.07799174563945854
13,44,0.07819091701655637
13,64,0.07998948695647444
13,42,0.08087393129711207
13,41,0.08139944220054587
13,40,0.08365028358260361
14,25,0.004413575647929912
14,24,0.00616837437660848
14,26,0.008642341555388816
14,27,0.008696186111738856
14,23,0.009611180202763869
14,28,0.011304503434030186
14,15,0.012104270807446419
14,29,0.013738259052005075
14,13,0.01403799115899428
14,46,0.014328500858080006
14,47,0.015181790503428763
14,16,0.015470618927502542
14,45,0.01614832032906209
14,30,0.01639691815555595
14,12,0.017491021919259064
14,31,0.01766652562843072
14,48,0.018307628191549012
14,11,0.020725212466462205
14,34,0.020926944826706064
14,32,0.021156222389169553
14,17,0.021478524564084958
14,10,0.025677099719399753
14,9,0.02583830344662747
14,18,0.02639407491388927
14,33,0.02687018086820409
14,49,0.026871438260353674
14,35,0.027248179164487296
14,36,0.02900760395913458
14,19,0.029974005703108802
14,37,0.03080744432405907
14,50,0.03160099599348095
14,7,0.03359087012046583
14,8,0.033766761291246145
14,20,0.03421641572242773
14,6,0.03610501544882655
14,51,0.03784042849334559
14,5,0.03869780298389042
14,21,0.039480128365799394
14,4,0.04157386096395181
14,22,0.04401074609058563
14,3,0.04485848837054144
14,2,0.04819580534538247
14,1,0.05160860654435456
14,52,0.05688406588746977
14,60,0.06086682115717893
14,53,0.062201978518050385
14,59,0.06328232059588212
14,38,0.06588478761785607
14,54,0.06624051189491212
14,43,0.06782258614783132
14,44,0.06855149129588646
14,58,0.06918210170109028
14,39,0.0694239182486843
14,55,0.07059847207588849
14,42,0.07197224762677623
14,41,0.07318768315625246
14,57,0.07588414388981404
14,40,0.07588865827282755
14,56,0.07763405063359767
14,61,0.08359322843657853
14,62,0.08660675145420246
14,63,0.08971030850961333
14,66,0.09063091638866955
14,65,0.09182696442467218
14,64,0.09371981057268523
15,16,0.0033951924510990674
15,30,0.007650691849761046
15,29,0.009043920143389143
15,17,0.009540896731963967
15,28,0.011002751105519
15,14,0.012104270807446419
15,27,0.01269233085173877
15,32,0.012698530763832474
15,25,0.013190921490934593
15,31,0.013236998337991884
15,18,0.014354480616866635
15,33,0.015728473557532558
15,48,0.017074040932948467
15,24,0.017278990868971476
15,19,0.017930891652396985
15,47,0.01827245199446424
15,26,0.018441220561014958
15,49,0.019572673576187805
15,23,0.020988995389250996
15,46,0.02208545188896976
15,20,0.022160876807789002
15,50,0.02382387457992507
15,13,0.025838763999077086
15,45,0.02677647413103524
15,34,0.027394601657990906
15,21,0.027442766379503356
15,37,0.029263636950317706
15,36,0.029316658538960393
15,12,0.02934144475924798
15,35,0.02951508201852061
15,51,0.02964965601453078
15,22,0.032023145736950955
15,11,0.032697671882872634
15,10,0.03773185939998183
15,9,0.037941910834590295
15,7,0.045677163314396
15,8,0.045866757159842876
15,6,0.04820866152238624
15,5,0.05076924898558177
15,4,0.053673561414256776
15,3,0.056961604765403163
15,38,0.05843819001209741
15,43,0.05845333544803069
15,44,0.05880248676620742
15,2,0.060291988098668585
15,39,0.06148627568636761
15,42,0.06277620927110841
15,1,0.06371058867605912
15,41,0.06454522528862999
15,40,0.06757808617037034
15,52,0.06898715661548895
15,60,0.07276863403967401
15,53,0.07430526780639445
15,59,0.07525901924540344
15,54,0.07834443904553781
15,58,0.08122049891843805
15,55,0.0827026468950662
15,57,0.08794231925785219
15,56,0.08973466512446572
15,61,0.09558145257553893
15,62,0.09864265882188089
15,63,0.10178093325318845
15,66,0.10256134105231858
15,65,0.10381236069413896
15,64,0.10575646547875928
16,15,0.0033951924510990674
16,17,0.006173325396413207
16,30,0.007715356440243058
16,29,0.010638525639391966
16,18,0.010959403111483747
16,32,0.012053157751394442
16,33,0.013260751218916688
16,28,0.013443252764491176
16,31,0.014234677298063355
16,19,0.014536336226504928
16,14,0.015470618927502542
16,27,0.015661912587228936
16,25,0.01653610897399992
16,48,0.01775048450042983
16,49,0.017982200760196177
16,20,0.018768277808312618
16,47,0.019992330426691136
16,24,0.02066391229777169
16,26,0.021748272197119514
